Country,CO2,Cooking_Clean_Pct,Electricity_Access,Agri_Land_Pct,Corruption,Fertility_Rate,Forest_Pct,GDP_Growth_Rate,Life_Expectancy,PM2.5_Air_Pollution,Pop_Over_65,Pop_Density,Regulation
Russian Federation,11.99943207,98.25,100,13.29447034,-0.822688,1.762,49.75856192,0.193690072,71.65121951,16.21988971,13.88397716,8.813796287,-0.4155626
Rwanda,0.095533926,0.57,29.37,73.43737135,0.6441216,4.123,19.73246809,5.981765258,67.93,42.84380209,2.765804995,472.9962708,0.1071192
Samoa,1.262955252,32.29,99.94758606,12.36749117,0.2763768,3.976,60.42402827,8.054160438,72.895,11.36629822,4.591975737,68.74028269,-0.1030717
Sao Tome and Principe,0.595447455,16.81,68.07398224,50.72916746,-0.0661725,4.426,55.83333174,4.172376223,69.67,28.6665386,2.893316341,211.6947917,-0.8124583
Saudi Arabia,17.36758781,95.96,99.9,80.76466839,0.2309044,2.435,0.454484135,1.670624758,74.761,84.46577505,3.10632221,15.09174439,0.0793312
Senegal,0.727113125,31.65,64.5,46.06035423,-3.23E-06,4.77,42.76216694,6.356068572,67.078,38.69494655,3.065224381,77.87632057,-0.1430723
Serbia,6.406826438,76.41,100,39.33226618,-0.3224787,1.46,31.1159376,3.340329069,75.68780488,24.78062162,17.42315842,80.70343014,0.0562996
Seychelles,6.390728477,90.36,100,3.369565114,0.7761543,2.39,88.4130395,4.562622436,74.3097561,20.40382446,7.312715495,205.8195652,-0.2591546
Sierra Leone,0.149104947,0.99,20.3,54.71044611,-0.8191309,4.457,43.05347877,6.055474029,53.444,21.34393233,2.989888978,101.5355777,-0.9254888
Singapore,6.694046297,100,100,0.930888592,2.088102,1.2,23.06064884,3.243474168,82.84634146,18.79780262,9.768495803,7908.720563,2.180612
Slovak Republic,5.970322225,96.58,100,39.22628952,0.2291559,1.48,40.35357636,2.123319035,77.16585366,17.35366264,14.54811767,112.9533694,0.8890519
Slovenia,6.117461533,96.17,100,30.65633976,0.8229882,1.58,61.97001199,3.121699782,81.17560976,15.91273727,18.48077099,102.5241808,0.6402694
Solomon Islands,0.272315022,8.45,58.67827606,3.8585209,-0.3443829,4.452,77.8635192,3.220947203,72.424,11.83068915,3.54757054,22.1306538,-0.9580071
South Africa,8.480658464,84.75,84.2,79.83002086,0.1183915,2.457,7.617736524,0.39908793,63.153,25.14041614,5.122219493,46.33098451,0.2118435
Spain,5.249157873,100,100,52.57724744,0.5156305,1.34,36.93620953,3.03130133,83.32926829,9.704138553,18.91054065,93.04926587,1.008604
Sri Lanka,1.101846767,26.33,97.5,43.69319088,-0.3107294,2.211,32.90384153,4.486634531,76.482,14.02544523,9.768466276,338.1119439,-0.1000357
St. Lucia,2.301754211,97.23,98.07876587,17.37704981,0.6305575,1.461,33.18032749,3.986868948,75.752,22.35339926,9.415411278,295.1213115,0.290406
St. Vincent and the Grenadines,2.010067697,95.98,99.82214355,25.64102564,0.6759044,1.931,69.23076923,1.897440944,72.193,22.07655177,9.333174979,280.6641026,0.2793267
Suriname,3.076995794,89.61,96.06616974,0.557692308,-0.303487,2.469,98.25769356,-5.561193424,71.358,25.31697817,6.70770135,3.621076923,-0.6269572
Sweden,4.35875184,100,100,7.442734036,2.19184,1.85,68.92293339,2.070593151,82.30731707,6.114258462,19.84019532,24.36248803,1.854203
Switzerland,4.117489823,100,100,38.36344603,1.988357,1.54,31.8301452,1.722740656,83.60243902,10.34263047,18.2289037,211.8974034,1.911901
Tajikistan,0.612889431,80.41,99.24816132,34.13790619,-1.146538,3.618,2.97139559,6.872963797,70.397,43.37770931,2.95910039,62.42221342,-1.093137
Tanzania,0.225684764,2.16,32.8,44.76179725,-0.5069014,5.015,51.57823436,6.867116196,63.844,28.44356969,2.563709219,59.89025739,-0.4353084
Thailand,4.114223358,74.43,100,43.27741784,-0.3889846,1.537,32.15760731,3.429219712,76.403,26.25805467,11.00605777,135.0023117,0.1680702
Timor-Leste,0.406011541,6.92,76.5,25.55480834,-0.510681,4.156,45.37995883,3.550517987,68.735,20.01790265,4.390185092,81.99650303,-0.9773058
Togo,0.399417466,6.71,47.41503525,70.2334988,-0.6773949,4.449,3.092480179,5.559079306,60.22,37.05110734,2.828487163,138.0759698,-0.7933024
Tonga,1.269071421,59.17,97.02,45.83333333,-0.4451802,3.636,12.5,3.37947375,70.607,10.95142376,5.973322259,140.4625,-0.4052489
Trinidad and Tobago,31.84485149,99.26,100,10.52631579,-0.2402743,1.753,46.023393,-6.296446956,73.1,24.23048069,10.00878365,268.5309942,0.0867226
Tunisia,2.64840154,99.1,100,64.83650875,-0.1348448,2.238,6.766220077,1.159600975,76.115,38.45049077,7.829461308,72.75969361,-0.4700933
Turkmenistan,12.47358651,99.32,100,72.00646905,-1.518626,2.887,8.782159045,6.199999966,67.835,21.74112228,4.157677495,12.04939459,-2.090988
Uganda,0.143267095,0.77,26.7,71.88809096,-1.056744,5.242,9.683822306,4.781000291,61.986,51.94410661,1.900776425,197.723449,-0.2131466
Ukraine,4.493971404,95.73,100,71.66531444,-0.8141002,1.466,16.70803881,2.235067619,71.47634146,20.618187,15.8940765,77.68936802,-0.4295344
United Arab Emirates,22.04082852,98.51,100,5.474514049,1.171709,1.491,4.557307852,3.060964308,77.47,40.52210348,0.986990678,131.8076598,0.9725956
United Kingdom,5.776795985,100,100,71.71487814,1.898977,1.79,13.06576282,1.918155106,81.15609756,10.50466684,18.15837456,271.2007316,1.760709
United States,15.50220398,100,100,44.369068,1.373532,1.8205,33.92978567,1.56721517,78.53902439,7.406464089,15.03367875,35.30408694,1.497076
Uruguay,1.975862788,97.97,99.7,82.55970523,1.267499,1.991,10.67158034,1.689798162,77.498,9.197441119,14.59133111,19.56423266,0.4894556
Uzbekistan,2.882785961,92.1,100,62.92900799,-1.168891,2.455,7.54297139,6.094210239,71.171,27.8143471,4.141626845,74.86577339,-1.619923
Vanuatu,0.527000323,12.57,57.82,15.34044299,-0.0959523,3.859,36.09515997,3.471544715,70.021,11.59090896,3.704595265,22.83264971,-0.2931163
Vietnam,2.057565917,66.92,99.2,39.27500242,-0.4524708,2.03,48.06011546,6.210811668,75.172,30.24131157,6.824691585,301.9922082,-0.4537929
"Yemen, Rep.",0.390479572,64.93,70.8562851,44.5972309,-1.663732,3.994,1.039831809,-9.375059508,66.087,50.12762567,2.825651953,51.45786692,-1.479931
Zambia,0.314182895,16.43,35.30733871,32.06392338,-0.401866,4.814,65.19915312,3.776775492,62.464,27.35567371,2.070705348,22.0120085,-0.4835931
Zimbabwe,0.782776886,29.05,39.92399216,41.87669639,-1.259387,3.804,35.54245731,0.755869251,60.294,21.72694718,2.861778528,36.2682952,-1.72011
