Country,Adolescent_Fertility,Birth_Rate,Death_Rate,Fertility_Rate,GDP_per_capita,Life_Expectancy,Mortality_Rate,Prob_Survival_to_5
Latvia,15.8014,10,15,1.6,17805.28031,79.7,3,0.996171415
France,4.7362,11.3,9.2,1.88,41631.09074,85.9,3.3,0.996333301
Netherlands,3.7028,9.7,8.9,1.59,53048.09621,83.4,3.1,0.996459901
Israel,9.192,20.8,5,3.09,41719.72544,84.8,2.8,0.996483505
Germany,7.8568,9.5,11.5,1.57,47639.00344,83.3,3,0.99658531
Australia,11.3258,12.6,6.3,1.74,57395.91947,84.9,2.8,0.996598899
Ireland,7.0566,12.5,6.4,1.75,78621.22796,84.1,2.7,0.996619761
Belgium,4.5704,10.3,10.7,1.62,47491.32326,83.9,2.5,0.996668279
Portugal,8.0012,8.5,11,1.42,23461.57186,84.5,2.7,0.996676445
Austria,7.0444,9.7,9.5,1.47,51525.04643,84.1,2.6,0.996770203
Belarus,13.7516,9.9,12.7,1.448,6330.075246,79.4,2.3,0.996831417
"Korea, Rep.",1.3204,6.4,5.8,0.977,33340.26515,85.7,2.5,0.996970177
Czech Republic,11.9314,10.7,10.6,1.71,23046.94913,82,2.2,0.997096837
Italy,5.11,7.3,10.5,1.29,34520.08516,85.6,2.5,0.997105956
Spain,7.4904,7.9,9.1,1.26,30337.67913,86.3,2.4,0.997154593
Montenegro,8.781,11.732,10.682,1.745,8850.092733,79.199,2.1,0.997394085
Singapore,3.5134,8.8,5,1.14,66188.7794,85.4,1.9,0.997435927
Estonia,7.0988,10.9,11.9,1.67,23258.46758,82.7,1.8,0.997482836
Sweden,5.1226,11.4,9.1,1.76,54589.06039,84.3,2,0.997483909
Japan,3.6644,7.4,11,1.42,39159.42356,87.32,1.8,0.99756676
Norway,5.1048,10.4,7.7,1.56,81734.46557,84.5,1.8,0.997667313
Cyprus,4.4586,10.462,7.022,1.329,28689.70672,82.913,1.8,0.997707725
Luxembourg,4.6038,10.3,7.1,1.38,116654.2611,84.6,2.1,0.997724414
Slovenia,3.6524,9.4,9.9,1.6,26054.5421,84.4,1.6,0.997937918
Iceland,5.9066,12,6.4,1.71,72968.70423,84.5,1.5,0.998142123
Finland,5.6588,8.6,9.9,1.41,50021.29106,84.5,1.8,0.998333395
